"","Filename","Segment","WC","Analytic","Clout","Authentic","Tone","WPS","Sixltr","Dic","function","pronoun","ppron","i","we","you","shehe","they","ipron","article","prep","auxverb","adverb","conj","negate","verb","adj","compare","interrog","number","quant","affect","posemo","negemo","anx","anger","sad","social","family","friend","female","male","cogproc","insight","cause","discrep","tentat","certain","differ","percept","see","hear","feel","bio","body","health","sexual","ingest","drives","affiliation","achieve","power","reward","risk","focuspast","focuspresent","focusfuture","relativ","motion","space","time","work","leisure","home","money","relig","death","informal","swear","netspeak","assent","nonflu","filler","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP","id"
"2106","309.txt",1,26,23.17,35.01,83.83,1,26,15.38,96.15,46.15,19.23,15.38,15.38,0,0,0,0,3.85,3.85,3.85,7.69,3.85,7.69,0,26.92,0,0,0,0,3.85,23.08,3.85,19.23,3.85,3.85,7.69,11.54,3.85,3.85,0,0,11.54,3.85,0,3.85,3.85,3.85,0,3.85,0,0,3.85,3.85,0,3.85,0,0,15.38,11.54,0,3.85,0,0,0,15.38,7.69,11.54,0,3.85,7.69,0,3.85,3.85,0,0,0,0,0,0,0,0,0,15.38,3.85,11.54,0,0,0,0,0,0,0,0,0,309
"2107","1845.txt",1,51,30.98,91.49,66.34,90.49,8.5,11.76,90.2,58.82,27.45,13.73,5.88,7.84,0,0,0,13.73,1.96,17.65,9.8,5.88,3.92,0,19.61,7.84,5.88,1.96,1.96,3.92,7.84,5.88,1.96,0,0,0,13.73,0,0,0,0,5.88,0,0,1.96,3.92,0,1.96,0,0,0,0,5.88,1.96,3.92,0,0,13.73,7.84,0,3.92,1.96,0,5.88,17.65,1.96,17.65,1.96,7.84,7.84,0,0,0,0,0,0,0,0,0,0,0,0,17.65,13.73,0,0,0,0,0,0,0,3.92,0,0,1845
"2108","2394.txt",1,7,92.84,99,1,1,7,14.29,85.71,57.14,14.29,14.29,0,14.29,0,0,0,0,14.29,14.29,14.29,0,0,0,14.29,0,0,0,0,14.29,14.29,0,14.29,14.29,14.29,0,14.29,0,0,0,0,14.29,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,28.57,14.29,0,14.29,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2394
"2109","2380.txt",1,8,1,1,99,99,8,0,100,62.5,12.5,0,0,0,0,0,0,12.5,0,0,12.5,25,12.5,12.5,25,12.5,0,12.5,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,37.5,12.5,0,0,0,12.5,12.5,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380
"2110","1689.txt",1,26,9.98,87.57,99,25.77,13,7.69,96.15,69.23,11.54,7.69,0,7.69,0,0,0,3.85,11.54,3.85,19.23,15.38,7.69,0,19.23,3.85,0,0,0,0,7.69,3.85,3.85,0,0,0,7.69,0,0,0,0,3.85,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,15.38,7.69,0,0,3.85,3.85,0,15.38,7.69,34.62,0,19.23,15.38,0,0,0,0,0,0,0,0,0,0,0,0,7.69,3.85,3.85,0,0,0,0,0,0,0,0,0,1689
"2111","1851.txt",1,21,67.14,92.33,37.24,99,10.5,52.38,71.43,47.62,19.05,9.52,0,9.52,0,0,0,9.52,4.76,14.29,4.76,0,9.52,0,14.29,4.76,0,4.76,0,0,9.52,9.52,0,0,0,0,14.29,0,0,0,0,14.29,0,0,0,4.76,4.76,9.52,0,0,0,0,0,0,0,0,0,14.29,9.52,0,0,0,4.76,4.76,4.76,4.76,9.52,4.76,4.76,0,4.76,0,0,0,0,0,0,0,0,0,0,0,23.81,4.76,4.76,0,0,0,0,0,0,4.76,0,9.52,1851
"2112","335.txt",1,38,21.43,70.08,81.22,1,9.5,13.16,92.11,57.89,18.42,13.16,5.26,0,5.26,2.63,0,5.26,5.26,7.89,10.53,2.63,10.53,2.63,21.05,2.63,0,0,0,0,10.53,2.63,7.89,7.89,0,0,13.16,2.63,0,5.26,0,7.89,0,0,0,0,2.63,5.26,0,0,0,0,2.63,0,2.63,0,0,13.16,2.63,2.63,2.63,0,5.26,0,21.05,0,18.42,7.89,13.16,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,13.16,10.53,0,0,0,0,0,0,0,2.63,0,0,335
"2113","1879.txt",1,7,99,50,99,1,7,0,100,14.29,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,28.57,14.29,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,14.29,0,14.29,0,0,14.29,0,14.29,0,14.29,0,0,0,0,57.14,0,28.57,28.57,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,1879
"2114","453.txt",1,13,99,22.08,17.46,99,6.5,30.77,92.31,38.46,7.69,7.69,7.69,0,0,0,0,0,7.69,23.08,0,0,0,0,15.38,0,0,0,0,0,15.38,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,15.38,0,15.38,0,0,7.69,0,7.69,0,0,0,0,0,0,7.69,0,7.69,0,7.69,0,15.38,0,0,0,0,0,0,0,0,0,15.38,15.38,0,0,0,0,0,0,0,0,0,0,453
"2115","447.txt",1,55,56.58,23.36,95.06,25.77,18.33,14.55,94.55,56.36,14.55,7.27,7.27,0,0,0,0,7.27,7.27,16.36,9.09,7.27,10.91,0,21.82,3.64,1.82,1.82,0,3.64,10.91,5.45,5.45,3.64,1.82,0,1.82,0,0,0,0,20,9.09,1.82,0,7.27,0,1.82,7.27,0,0,5.45,0,0,0,0,0,5.45,0,0,0,5.45,0,1.82,16.36,3.64,12.73,0,10.91,3.64,0,0,0,0,0,0,0,0,0,0,0,0,9.09,3.64,1.82,0,0,0,0,0,0,3.64,0,0,447
